# telescope   = tel16
# season      = 2014-2017
# filter      = RG715
# aperture    = 6.000     pix
# deblend     = 0
# null_dc[1]  = 0.000813  mag
# null_dc[2]  = 0.000312  mag
# null_dc[3]  = 0.000501  mag
# null_dc[4]  = 0.000022  mag
# null_cm     = 0.365045  mag/mag
# null_fwhm_k = -0.000102 mag/pix
# null_fwhm_0 = 2.743500  pix
# null_chidof = 2.452
# null_nfit   = 2303
# null_nparm  = 6
#
#BJD           Mag         e_Mag       tExp    DMag    FWHM   Ellip Airmass X         Y         Angle   Sky      Peak  S  V  R F CM        Corr_Mag   
#------------- ----------- ----------- ------- ------- ------ ----- ------- --------- --------- ------- -------- ----- -- -- - - --------- -----------
2457835.714875    0.005556    0.002249  15.034 -0.0071  2.389 0.054 1.06534  1299.490   360.500 -179.88    20.04 10987  1  3 0 0  0.001867    0.004025
2457835.715336    0.005698    0.002353  15.034 -0.0047  2.524 0.035 1.06517  1299.890   363.258 -179.88    20.20 11433  1  3 0 0  0.001825    0.004196
2457835.732966   -0.001059    0.002226  15.034 -0.0126  2.655 0.069 1.06490   739.508  1686.718   -0.00    19.19 10114  2  3 0 0  0.001009   -0.001748
2457835.733428    0.000809    0.002223  15.034 -0.0100  2.709 0.064 1.06505   741.464  1684.926   -0.00    19.38  9506  2  3 0 0  0.001023    0.000120
2457835.733882    0.003349    0.002272  15.034 -0.0052  2.533 0.030 1.06521   745.109  1684.120   -0.00    19.45 12239  2  3 0 0  0.001037    0.002637
2457835.734323    0.005697    0.002352  15.034 -0.0114  2.316 0.044 1.06537   747.677  1685.589    0.00    19.41 12719  2  3 0 0  0.001051    0.004958
2457835.751847    0.008767    0.002316  15.034 -0.0010  2.373 0.062 1.07790   740.363  1686.495    0.00    17.73 11918  2  3 0 0  0.001867    0.007736
2457835.752290    0.005428    0.002453  15.034 -0.0024  2.210 0.060 1.07838   741.860  1684.152    0.00    17.88 16890  2  3 0 0  0.001903    0.004367
2457835.752735    0.000920    0.002480  15.034 -0.0043  2.174 0.066 1.07886   743.320  1686.373    0.00    18.14 14030  2  3 0 0  0.001940   -0.000158
2457835.753196    0.008985    0.002329  15.034 -0.0043  2.162 0.065 1.07937   746.846  1687.913    0.00    18.36 18035  2  3 0 0  0.001978    0.007891
2457835.775733    0.007615    0.002446  15.034 -0.0087  2.119 0.041 1.11544   743.921  1685.998    0.00    16.32 19708  2  3 0 0  0.002405    0.006362
2457835.776174    0.001711    0.002443  15.034 -0.0076  2.243 0.051 1.11638   743.861  1685.265    0.00    16.54 15408  2  3 0 0  0.002373    0.000482
2457835.776615    0.002393    0.002482  15.034 -0.0074  2.440 0.139 1.11732   745.733  1682.552    0.00    16.65 13623  2  3 0 0  0.002342    0.001195
2457835.777053    0.002785    0.002440  15.034 -0.0096  2.642 0.100 1.11827   746.459  1686.756    0.00    16.67 10976  2  3 0 0  0.002310    0.001619
2457835.792621    0.000411    0.002508  15.034 -0.0032  2.322 0.111 1.15822   744.551  1686.816    0.01    18.13 13727  2  3 0 0  0.001448   -0.000472
2457835.793066    0.004658    0.002433  15.034 -0.0023  2.234 0.085 1.15955   746.004  1687.939    0.01    18.15 17301  2  3 0 0  0.001434    0.003770
2457835.793514   -0.002367    0.002523  15.034 -0.0007  2.174 0.050 1.16090   746.214  1686.074    0.01    18.08 18282  2  3 0 0  0.001420   -0.003255
2457835.793957    0.006703    0.002456  15.034 -0.0001  2.124 0.076 1.16225   746.838  1683.036    0.01    18.24 18414  2  3 0 0  0.001407    0.005815
2457835.812695    0.008467    0.002628  15.034 -0.0084  2.699 0.140 1.23041   745.093  1684.313    0.00    21.50 11222  2  3 0 0  0.000923    0.007813
2457835.813160    0.008103    0.002671  15.034  0.0007  2.343 0.048 1.23240   745.120  1682.749    0.00    21.84 13882  2  3 0 0  0.000916    0.007416
2457835.813624    0.001216    0.002511  15.034 -0.0013  2.597 0.108 1.23441   746.512  1687.683    0.00    21.97 10980  2  3 0 0  0.000909    0.000558
2457835.814092    0.003633    0.002593  15.034 -0.0050  2.372 0.066 1.23644   746.723  1685.919    0.01    21.98 14178  2  3 0 0  0.000901    0.002955
2457835.830500    0.011481    0.002798  15.034 -0.0028  2.386 0.058 1.31901   744.864  1685.236    0.01    26.05 13381  2  3 0 0  0.001318    0.010652
2457835.830947    0.003698    0.002663  15.034 -0.0068  2.311 0.094 1.32159   745.687  1688.089    0.00    26.36 14003  2  3 0 0  0.001385    0.002837
2457835.831403    0.002390    0.002629  15.034 -0.0061  2.497 0.107 1.32424   745.956  1686.893    0.01    26.37 13458  2  3 0 0  0.001453    0.001522
2457835.831847    0.000223    0.002682  15.034 -0.0033  2.779 0.191 1.32685   746.812  1683.315    0.01    26.32 10540  2  3 0 0  0.001520   -0.000640
2457835.851957    0.000842    0.002882  15.034 -0.0049  2.341 0.055 1.46772   745.462  1687.060    0.01    30.00 12705  2  3 0 0  0.004156   -0.001028
2457835.852419   -0.000507    0.002985  15.034 -0.0037  2.256 0.041 1.47155   745.514  1684.980    0.01    30.51 14388  2  3 0 0  0.004194   -0.002400
2457835.852889   -0.000215    0.002979  15.034 -0.0061  2.360 0.075 1.47549   745.257  1682.450    0.01    30.79 13216  2  3 0 0  0.004233   -0.002111
2457835.853332    0.007717    0.002990  15.034  0.0057  2.460 0.118 1.47923   746.135  1687.713    0.01    30.84 13177  2  3 0 0  0.004269    0.005818
2457835.873392    0.000403    0.003395  15.034 -0.0079  2.937 0.076 1.68374   744.445  1683.202    0.02    34.87  8882  2  3 0 0  0.005646   -0.001950
2457835.873834    0.006021    0.003367  15.034 -0.0016  2.677 0.053 1.68916   744.619  1682.782    0.02    35.08 10607  2  3 0 0  0.005665    0.003635
2457835.874278   -0.000586    0.003331  15.034  0.0022  3.334 0.222 1.69465   745.171  1691.024    0.02    35.45  7449  2  3 0 0  0.005683   -0.002912
2457835.874723    0.008385    0.003446  15.034 -0.0006  2.844 0.049 1.70018   746.394  1690.192    0.02    35.30  8789  2  3 0 0  0.005702    0.006001
2457835.893880    0.015365    0.004013  15.034 -0.0010  2.960 0.045 1.99247   745.048  1684.214    0.03    42.68  9642  2  3 0 0  0.005522    0.013059
